appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
316600,QP Shooting - Dangerous!!,2014-11-14,1,Orange_Juice,Fruitbat Factory,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Bullet Hell;Shoot 'Em Up;Anime,36,349,27,207,221,50000-100000,5.59
317290,Bionic Heart 2,2014-09-22,1,Winter Wolves,Winter Wolves,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie,Adventure;Indie;Visual Novel,24,21,15,0,0,0-20000,10.99
318650,SunAge: Battle for Elysium,2014-12-15,1,vertex4 entertainment ltd.,vertex4 entertainment ltd.,windows;mac,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements,Indie;Strategy,Strategy;Indie;RTS,15,68,40,0,0,0-20000,10.99
319280,Yatagarasu Attack on Cataclysm,2015-07-07,1,Yatagarasu Dev Team,Nyu Media,windows,0,Single-player;Multi-player;Full controller support;Steam Trading Cards;Stats;Commentary available,Action;Indie,Indie;Fighting;Action,0,174,69,0,0,0-20000,10.99
320110,Train Town,2014-08-26,1,N3V Games,N3V Games,windows,0,Single-player,Casual,Casual;Trains;Family Friendly,0,41,26,0,0,0-20000,1.99
320330,Earthworms,2018-02-23,1,All Those Moments,Ultimate Games S.A.;Art Games Studio S.A.,windows,0,Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,0,40,3,0,0,0-20000,4.79
321150,Melissa K. and the Heart of Gold Collector's Edition,2014-09-19,1,SDP Games,KISS ltd,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Adventure;Casual;Indie,Hidden Object;Adventure;Casual,26,499,195,182,212,200000-500000,7.99
321660,Mining Industry Simulator,2014-11-28,1,Crafty Studios,Ravenscourt,windows;mac;linux,0,Single-player;Steam Achievements,Simulation,Simulation;Mining,49,18,46,0,0,0-20000,6.99
321830,Cavern Kings,2014-09-30,1,Vine,Vine,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie;Early Access,Early Access;Indie;Casual,0,152,52,0,0,0-20000,6.99
324170,Pyrite Heart,2014-09-25,1,Winged Cloud,Winged Cloud,windows;mac;linux,0,Single-player;Steam Trading Cards,Nudity;Indie,Otome;Visual Novel;Anime,0,188,90,217,217,0-20000,3.99
324800,Shadow Warrior 2,2016-10-13,1,Flying Wild Hog,Devolver Digital,windows,0,Single-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Gore;FPS,64,10152,1406,993,1655,200000-500000,34.99
325790,Fallen: A2P Protocol,2015-08-14,1,Red Katana,Red Katana,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Indie;RPG;Strategy,RPG;Strategy;Turn-Based,21,81,134,0,0,20000-50000,7.19
326380,Mystery of Neuschwanstein,2015-02-18,1,Chimera Entertainment,astragon Entertainment,windows;mac,0,Single-player;Steam Achievements,Adventure;Casual,Adventure;Casual;Hidden Object,15,35,9,0,0,0-20000,8.99
326650,The Legend of Candlewind: Nights & Candles,2015-02-12,1,Atmosphere Entertainment Studios,2tainment GmbH,windows,0,Single-player;Steam Achievements,Indie;RPG,RPG;Indie;Tactical,11,6,40,0,0,20000-50000,6.99
328740,Bit Odyssey,2015-01-20,1,Gamesare,Clickteam,windows,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Adventure;Indie;RPG;Early Access,Early Access;Indie;Adventure,0,20,18,0,0,0-20000,3.99
330520,Tail Drift,2014-10-29,1,Attract Mode Games,Right Pedal Studios,windows,0,Single-player;Partial Controller Support,Indie;Racing;Sports;Early Access,Early Access;Sports;Indie,0,8,7,0,0,0-20000,6.99
330680,Solar Struggle,2014-11-18,1,Z-Software,Z-Software GmbH,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Action;Indie;Arcade,37,4,18,0,0,0-20000,4.79
330880,Redemption,2016-08-11,1,"Move Games Co., Ltd.","Move Games Co., Ltd.",windows,0,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards;Partial Controller Support,Action;Adventure;Casual;Massively Multiplayer;RPG;Early Access,Early Access;Action;Massively Multiplayer,0,13,8,0,0,0-20000,10.99
333210,Kaiju-A-GoGo,2015-04-23,1,Kerberos Productions Inc.,Kerberos Productions Inc.,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Casual;Indie;Strategy,Action;Strategy;Indie,62,181,90,67,67,50000-100000,7.19
333220,Cherry Tree High I! My! Girls!,2014-11-20,1,773,Nyu Media,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Indie,Indie;Visual Novel;Adventure,0,102,42,415,415,50000-100000,2.79
333650,Pahelika: Revelations HD,2015-03-02,1,Ironcode Gaming,Ironcode Gaming,windows,0,Single-player;Steam Achievements,Adventure;Casual;Indie;Strategy,Adventure;Indie;Casual,18,25,33,0,0,20000-50000,6.99
334100,Extreme Exorcism,2015-09-23,1,Golden Ruby Games,Ripstone,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Adventure;Casual;Indie,Indie;Casual;Action,13,24,4,0,0,0-20000,4.99
336080,Vietnam ‘65,2015-03-05,1,Every Single Soldier,Slitherine Ltd.,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Strategy,Strategy;Turn-Based Strategy;Historical,51,213,53,0,0,20000-50000,6.99
336090,Sky Mercenaries,2014-12-16,1,PolarityFlow,PolarityFlow,windows;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Steam Turn Notifications;Includes level editor;Commentary available,Action;Indie,Indie;Action;Bullet Hell,27,76,28,229,234,20000-50000,6.99
336940,Basingstoke,2018-04-27,1,Puppygames,Puppygames,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Adventure;Indie,Action;Indie;Adventure,34,100,13,0,0,0-20000,23.79
337130,Bosch's Damnation,2015-07-21,1,MDNA Games,"Tri Synergy, Inc.",windows;mac,0,Single-player;Steam Achievements,Adventure,Adventure;Point & Click,13,6,2,0,0,0-20000,8.99
337940,X-note,2015-01-16,1,Zeiva Inc,Zeiva Inc,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie;Simulation,Visual Novel;Anime;Adventure,0,84,18,1084,1084,20000-50000,11.39
